budget,genres,original_language,popularity,production_companies,production_countries,revenue,runtime,title,vote_average,vote_count,cast,release_year,release_month,release_day,Profit,roi
55000000,14,4,48.801089,1,2086,70016220,122.0,3:10 to Yuma,6.9,1188,1,2007,9,6,15016220,27.302218181818183
48000000,2,4,88.844777,1,33,325771424,109.0,Taken 3,6.1,2200,1,2014,12,16,277771424,578.6904666666667
48000000,2,4,16.000178,1,2086,77745568,123.0,Out of Sight,6.5,333,1,1998,6,26,29745568,61.96993333333334
47000000,2,4,19.525659,13,2086,102825796,96.0,The Cable Guy,5.7,594,1,1996,6,10,55825796,118.77828936170214
47000000,3,4,7.859226,15,2086,103738726,103.0,Dick Tracy,5.9,251,1,1990,6,15,56738726,120.72069361702127
48000000,1,4,18.102572,1,2086,124305181,113.0,The Thomas Crown Affair,6.6,339,1,1999,8,6,76305181,158.96912708333332
48000000,61,4,7.226115,28,2086,35743308,132.0,Riding in Cars with Boys,6.5,103,1,2001,10,19,-12256692,-25.534775
15000000,3,4,63.071046,2,2086,125212904,93.0,First Blood,7.2,1488,1,1982,10,22,110212904,734.7526933333334
47000000,1,4,10.410933,1,93,38085778,75.0,Happily N'Ever After,4.6,104,1,2006,9,14,-8914222,-18.966429787234045
47000000,2,4,6.067212,1,2086,12379402,104.0,Mary Reilly,5.7,74,1,1996,2,23,-34620598,-73.66084680851064
38000000,82,4,15.401855,6,2086,299288605,105.0,My Best Friend's Wedding,6.3,584,1,1997,6,19,261288605,687.6015921052631
46000000,4,4,41.322708,1,2086,113714830,118.0,Insomnia,6.8,1148,1,2002,5,24,67714830,147.20615217391304
46000000,10,4,25.6713,1,2086,150000000,111.0,Star Trek: First Contact,7.0,661,1,1996,11,21,104000000,226.08695652173913
47000000,1,4,22.581313,23,2086,10539000,80.0,Jonah Hex,4.4,420,1,2010,6,18,-36461000,-77.57659574468086
46000000,1,4,12.971122,7,2086,100860818,117.0,Courage Under Fire,6.2,232,1,1996,7,4,54860818,119.26264782608695
45000000,185,4,26.721386,6,2086,181000000,86.0,Liar Liar,6.4,1424,1,1997,3,21,136000000,302.22222222222223
25000000,30,4,24.672234,1,67,15436808,127.0,The Infiltrator,6.6,573,1,2016,7,13,-9563192,-38.252767999999996
46000000,14,4,0.146783,1,1,5200000,140.0,Inchon,6.5,2,1,1981,5,4,-40800000,-88.69565217391305
46000000,6,4,28.964162,1,2086,341631208,91.0,The Flintstones,5.0,543,1,1994,5,26,295631208,642.6765391304348
45000000,25,4,49.353524,1,19,376141306,91.0,Taken 2,6.1,2757,1,2012,9,27,331141306,735.8695688888889
48000000,185,4,36.585509,1,2086,220673217,84.0,Scary Movie 3,5.8,912,1,2003,10,24,172673217,359.73586875
45000000,1,4,32.624355,2,2086,212000000,111.0,Miss Congeniality,6.1,961,1,2000,12,14,167000000,371.11111111111114
45000000,1,4,53.090422,1,2086,101702060,93.0,Journey to the Center of the Earth,5.8,1309,1,2008,7,10,56702060,126.00457777777778
40000000,2,4,30.002907,17,2086,95149435,113.0,The Princess Diaries 2: Royal Engagement,6.0,697,1,2004,8,6,55149435,137.8735875
45000000,4,4,17.923254,23,2086,195268056,141.0,The Pelican Brief,6.3,371,1,1993,12,16,150268056,333.92901333333333
45000000,2,4,17.746719,1,2086,117615211,119.0,The Client,6.4,278,1,1994,7,20,72615211,161.36713555555556
45000000,23,4,31.305336,1,2086,175372502,97.0,The Bucket List,7.0,1111,1,2007,12,25,130372502,289.7166711111111
45000000,8,4,19.637704,2,2086,178051587,117.0,Patriot Games,6.3,433,1,1992,6,4,133051587,295.6701933333334
43000000,17,4,10.411996,1,11,154749918,101.0,Monster-in-Law,5.6,406,1,2005,5,13,111749918,259.88353023255814
46000000,10,4,88.496873,1,2086,122126687,153.0,Prisoners,7.9,3085,1,2013,9,18,76126687,165.49279782608696
45000000,19,4,52.081131,1,36,104876233,122.0,Training Day,7.3,1634,1,2001,10,5,59876233,133.05829555555556
45000000,3,4,30.816341,1,2086,90683916,102.0,Galaxy Quest,6.9,710,1,1999,12,23,45683916,101.51981333333333
45000000,185,4,35.376971,1,66,141220678,83.0,Scary Movie 2,5.4,982,1,2001,7,4,96220678,213.8237288888889
45000000,1,4,17.047276,17,2086,165184237,103.0,The Muppets,6.5,501,1,2011,11,22,120184237,267.0760822222222
45000000,1,4,43.815492,1,2086,131183530,120.0,Blade,6.5,1905,1,1998,8,21,86183530,191.51895555555555
30000000,195,4,23.234651,1,93,76669806,136.0,Coach Carter,7.3,496,1,2005,1,14,46669806,155.56601999999998
45000000,5,4,17.270539,46,2086,94935764,89.0,Changing Lanes,5.9,299,1,2002,4,7,49935764,110.96836444444445
45000000,1,4,27.684779,1,1,136885767,89.0,Anaconda,4.7,610,1,1997,4,11,91885767,204.1905933333333
45000000,185,4,26.79781,4,2086,113916474,100.0,Coyote Ugly,5.8,575,1,2000,7,30,68916474,153.14772000000002
40000000,15,4,37.073127,1,141,244931766,135.0,Love Actually,7.0,1869,1,2003,9,7,204931766,512.329415
120000000,9,4,87.350802,11,2086,363258859,95.0,A Bug's Life,6.8,2303,1,1998,11,25,243258859,202.71571583333335
35000000,17,4,26.134678,1,1,74558115,122.0,From Hell,6.6,741,1,2001,10,19,39558115,113.02318571428572
45000000,32,4,16.582709,1,1,170362582,110.0,The Specialist,5.5,313,1,1994,10,7,125362582,278.58351555555555
45000000,61,4,10.731574,3,2086,53854588,135.0,Tin Cup,5.9,150,1,1996,8,16,8854588,19.676862222222223
50000000,3,4,51.742065,1,2086,104478416,109.0,The Hitchhiker's Guide to the Galaxy,6.6,1315,1,2005,1,15,54478416,108.95683199999999
45000000,4,4,12.06538,1,1,148412065,94.0,Resident Evil: Extinction,6.1,1292,1,2007,9,20,103412065,229.80458888888887
40000000,185,4,44.120328,1,2086,123494610,117.0,Blended,6.6,1006,1,2014,5,21,83494610,208.736525
45000000,2,4,6.156015,46,2086,38399961,112.0,Last Holiday,6.4,119,1,2006,1,13,-6600039,-14.666753333333332
45000000,30,4,31.856589,1,2086,82966152,131.0,Savages,6.2,766,1,2012,7,6,37966152,84.36922666666666
25000000,5,4,24.459948,26,93,56422687,94.0,Cellular,6.1,537,1,2004,9,6,31422687,125.690748
40000000,1,4,28.029015,1,10,160583018,88.0,Johnny English,6.0,852,1,2003,4,6,120583018,301.45754500000004
50000000,2,4,20.239061,1,2086,55181129,88.0,The Ant Bully,5.5,366,1,2006,7,27,5181129,10.362258
40000000,6,4,25.876582,2,2086,30925690,137.0,Dune,6.5,562,1,1984,12,14,-9074310,-22.685775
35000000,89,4,20.360549,1,141,75225693,119.0,Revolutionary Road,6.7,796,1,2008,12,19,40225693,114.93055142857142
55000000,5,4,32.31022,1,11,65664721,105.0,16 Blocks,6.2,661,1,2006,3,1,10664721,19.390401818181818
70000000,7,4,27.568194,1,10,72108608,101.0,Babylon A.D.,5.4,676,1,2008,8,20,2108608,3.0122971428571432
45000000,1,4,13.707183,1,66,57881056,86.0,Aliens in the Attic,5.3,244,1,2009,7,31,12881056,28.62456888888889
35000000,13,4,12.495436,1,2086,29400000,123.0,The Pledge,6.5,215,1,2001,1,9,-5600000,-16.0
45000000,10,4,6.803965,1,2086,38058335,134.0,The Producers,6.1,151,1,2005,12,25,-6941665,-15.425922222222221
45000000,6,4,9.025236,1,36,17300889,100.0,The Phantom,4.7,136,1,1996,6,6,-27699111,-61.55358
44000000,7,4,3.770161,6,2086,13681765,192.0,Nixon,7.1,71,1,1995,12,22,-30318235,-68.90507954545456
45000000,4,4,21.118196,1,22,60222298,128.0,The Ghost Writer,6.7,670,1,2010,2,12,15222298,33.82732888888889
45000000,1,4,6.513856,1,66,11203026,106.0,Deep Rising,6.0,154,1,1998,1,30,-33796974,-75.10438666666667
45000000,13,4,11.387408,1,4,9323833,160.0,Miracle at St. Anna,6.3,90,1,2008,9,15,-35676167,-79.28037111111111
45000000,25,4,14.813057,1,2086,42487390,99.0,Bangkok Dangerous,5.0,332,1,2008,8,21,-2512610,-5.583577777777777
40000000,8,4,5.201688,15,2086,8493890,85.0,Big Trouble,6.3,80,1,2002,4,5,-31506110,-78.765275
45000000,89,4,5.361699,1,2086,4607608,139.0,Love in the Time of Cholera,6.4,81,1,2007,10,4,-40392392,-89.7608711111111
45000000,32,4,3.848893,6,2086,2154540,103.0,Shadow Conspiracy,4.0,11,1,1997,1,31,-42845460,-95.21213333333334
45000000,1,4,35.6585,33,1,160078586,101.0,Johnny English Reborn,6.0,1007,1,2011,9,15,115078586,255.73019111111114
65000000,2,4,5.258726,1,2086,73706,87.0,Foodfight!,2.3,28,1,2012,6,15,-64926294,-99.88660615384616
44500000,34,4,62.01056,1,2086,232324128,120.0,Argo,7.1,3423,1,2012,10,11,187824128,422.07669213483143
44000000,1,4,54.884297,23,2086,368875760,130.0,The Fugitive,7.2,1220,1,1993,8,6,324875760,738.354
40000000,17,4,33.747825,1,2086,136000000,110.0,The Bounty Hunter,5.5,858,1,2010,3,16,96000000,240.0
44000000,30,4,16.245068,1,2086,165615285,147.0,Sleepers,7.3,715,1,1996,10,18,121615285,276.398375
44000000,3,4,38.653969,2,2086,300400432,96.0,Rambo: First Blood Part II,6.3,864,1,1985,5,21,256400432,582.7282545454545
2600000,18,4,46.007991,1,2086,84300000,88.0,Pinocchio,6.9,1355,1,1940,2,23,81700000,3142.3076923076924
44000000,1,4,5.380124,1,2086,3484331,219.0,Heaven's Gate,6.4,55,1,1980,11,19,-40515669,-92.08106590909091
50000000,1,4,49.020045,1,2086,111340801,106.0,Underworld: Evolution,6.4,1528,1,2006,1,12,61340801,122.681602
40000000,4,4,24.821138,1,141,34227298,109.0,Victor Frankenstein,5.6,685,1,2015,11,10,-5772702,-14.431754999999999
43000000,195,4,19.043286,1,2086,80049764,136.0,Finding Forrester,7.0,302,1,2000,12,21,37049764,86.16224186046512
45000000,10,4,25.999888,1,11,50871113,103.0,Unleashed,6.6,518,1,2005,2,2,5871113,13.046917777777779
43000000,17,4,18.65632,1,2086,68696770,84.0,The Sweetest Thing,5.3,280,1,2002,4,12,25696770,59.75993023255815
42000000,11,4,23.736535,1,2086,270248367,154.0,The Firm,6.6,501,1,1993,6,30,228248367,543.4484928571429
44000000,195,4,21.75433,1,2086,48190704,99.0,Charlie St. Cloud,6.8,566,1,2010,5,1,4190704,9.524327272727273
40000000,18,4,44.094856,1,2086,51070807,93.0,The Mechanic,6.3,1045,1,2011,1,13,11070807,27.6770175
42000000,17,4,62.714026,1,2086,201585328,109.0,21 Jump Street,6.7,4074,1,2012,3,12,159585328,379.96506666666664
42000000,6,4,28.969151,1,141,363889678,124.0,Notting Hill,7.0,1262,1,1999,5,13,321889678,766.4039952380953
45000000,18,4,31.789029,1,67,224834564,84.0,Chicken Run,6.5,1150,1,2000,6,21,179834564,399.6323644444444
42000000,82,4,33.238296,1,2086,171963386,90.0,Along Came Polly,5.8,773,1,2004,1,16,129963386,309.43663333333336
40000000,82,4,6.420434,46,2086,70100000,117.0,Boomerang,5.4,134,1,1992,6,30,30100000,75.25
43000000,17,4,37.654688,1,2086,158674180,117.0,The Heat,6.5,1575,1,2013,6,27,115674180,269.00972093023256
31115000,10,4,13.244365,1,1,71000000,248.0,Cleopatra,6.7,146,1,1963,6,12,39885000,128.18576249397398
42000000,4,4,14.046705,1,2086,63781810,115.0,High Crimes,6.1,184,1,2002,4,3,21781810,51.86145238095238
32000000,2,4,14.733513,1,2086,55157539,119.0,The Mothman Prophecies,6.1,305,1,2002,1,25,23157539,72.367309375
32000000,24,4,28.22119,7,141,156167015,133.0,Licence to Kill,5.9,541,1,1989,7,7,124167015,388.02192187500003
42000000,1,4,45.151657,1,66,89162162,100.0,Red Riding Hood,5.6,922,1,2011,3,11,47162162,112.2908619047619
60000000,25,4,15.205371,1,93,56359980,120.0,15 Minutes,5.7,191,1,2001,3,1,-3640020,-6.0667
48000000,4,4,14.587367,1,141,20915465,104.0,Super Mario Bros.,4.0,232,1,1993,5,28,-27084535,-56.42611458333333
42000000,30,4,34.828241,1,1,24127895,122.0,Lord of War,7.0,1335,1,2005,9,16,-17872105,-42.55263095238095
31000000,1,25,23.607392,1,4,177394432,99.0,Hero,7.2,635,1,2002,12,19,146394432,472.2401032258064
40000000,17,4,19.438503,1,2086,36893721,91.0,One for the Money,5.3,388,1,2012,1,26,-3106279,-7.7656975
44000000,17,4,74.168016,1,2086,12342632,112.0,The Interview,6.1,2304,1,2014,12,25,-31657368,-71.94856363636364
42000000,1,4,7.349497,1,1,11087569,100.0,The Warrior's Way,6.3,136,1,2010,12,2,-30912431,-73.60102619047619
33000000,17,7,7.663515,1,19,14000000,100.0,Micmacs,6.8,148,1,2009,10,28,-19000000,-57.57575757575758
41000000,195,4,32.798571,1,2086,215000000,110.0,8 Mile,6.8,1626,1,2002,11,8,174000000,424.39024390243907
65000000,1,4,36.670399,1,2086,117487473,132.0,A Knight's Tale,6.6,907,1,2001,5,11,52487473,80.74995846153847
40000000,3,4,73.085576,1,2086,672806292,107.0,The Sixth Sense,7.7,3147,1,1999,8,6,632806292,1582.01573
42000000,18,4,34.041407,1,2086,46221189,102.0,Man on a Ledge,6.2,925,1,2012,1,13,4221189,10.05045
41000000,185,4,9.419726,1,2086,7448385,100.0,The Big Year,5.6,248,1,2011,10,13,-33551615,-81.83320731707317
8000000,195,4,28.456572,1,2086,90815558,126.0,The Karate Kid,6.9,891,1,1984,6,22,82815558,1035.194475
40000000,22,4,49.664128,1,2086,251171807,138.0,American Hustle,6.8,2807,1,2013,12,12,211171807,527.9295175
40000000,15,4,36.238968,1,2086,317375031,108.0,The Proposal,6.7,1804,1,2009,6,1,277375031,693.4375775000001
70000000,13,4,19.439386,46,66,177841558,105.0,Double Jeopardy,6.2,278,1,1999,9,24,107841558,154.05936857142856
40000000,3,4,43.345252,3,2086,332000000,108.0,Back to the Future Part II,7.4,3829,1,1989,11,20,292000000,730.0
38000000,1,4,21.998734,13,2086,197011982,84.0,Spy Kids 3-D: Game Over,4.7,511,1,2003,7,25,159011982,418.45258421052637
40000000,30,4,25.219805,3,2086,152266007,149.0,A Time to Kill,7.0,509,1,1996,7,24,112266007,280.66501750000003
40000000,185,4,26.516624,1,2086,190212113,98.0,Cheaper by the Dozen,6.0,699,1,2003,12,24,150212113,375.5302825
40000000,4,4,37.084384,1,2086,149295601,121.0,Lone Survivor,7.4,1526,1,2013,12,24,109295601,273.23900249999997
40000000,185,4,21.661028,1,2086,107458785,128.0,A League of Their Own,6.7,354,1,1992,7,1,67458785,168.6469625
40000000,36,4,68.794673,1,66,320170008,134.0,The Conjuring 2,7.0,1949,1,2016,5,13,280170008,700.42502
40000000,195,4,69.27822,1,2086,224920315,120.0,The Social Network,7.1,3391,1,2010,9,30,184920315,462.3007875
40000000,15,4,26.253357,1,1,177259441,129.0,He's Just Not That Into You,6.2,959,1,2009,2,6,137259441,343.1486025
45000000,185,4,32.549282,13,2086,178262620,83.0,Scary Movie 4,5.3,750,1,2006,4,13,133262620,296.1391555555556
40000000,13,4,24.992057,1,2086,161834276,116.0,Scream 3,5.7,736,1,2000,2,3,121834276,304.58569
40000000,3,4,45.769562,3,2086,244527583,118.0,Back to the Future Part III,7.1,2900,1,1990,5,25,204527583,511.3189575
40000000,185,4,36.301202,1,2086,111811453,100.0,Get Hard,5.9,944,1,2015,3,26,71811453,179.5286325
40000000,1,4,45.022964,1,2086,215862692,128.0,Dracula,7.1,1056,1,1992,11,13,175862692,439.65673
40000000,195,4,31.884559,23,2086,95020213,128.0,42,6.8,787,1,2013,4,12,55020213,137.5505325
40000000,11,4,31.385257,1,2086,128798265,139.0,The Talented Mr. Ripley,7.0,767,1,1999,12,25,88798265,221.9956625
40000000,185,4,67.767785,1,2086,169837010,110.0,Dumb and Dumber To,5.4,1127,1,2014,11,12,129837010,324.592525
40000000,6,4,24.287306,1,2086,120455994,120.0,Eight Below,6.7,542,1,2006,2,17,80455994,201.13998500000002
35000000,185,4,53.114573,1,2086,194564672,121.0,The Intern,7.1,1881,1,2015,9,24,159564672,455.89906285714284
40000000,17,4,25.136082,1,2086,124827316,102.0,Ride Along 2,6.1,555,1,2016,1,14,84827316,212.06829
40000000,2,4,37.776566,3,2086,75505856,112.0,The Last of the Mohicans,7.1,732,1,1992,9,25,35505856,88.76464
40000000,13,4,21.743321,1,2086,124731534,152.0,Ray,7.2,467,1,2004,10,29,84731534,211.82883499999997
40000000,18,4,66.003433,2,2086,158733820,124.0,Sin City,7.2,2691,1,2005,4,1,118733820,296.83455
40000000,8,4,24.862767,1,2086,151161491,90.0,Vantage Point,6.2,716,1,2008,2,1,111161491,277.9037275
41000000,185,4,25.391899,1,2086,91636986,105.0,"I Love You, Man",6.5,515,1,2009,3,20,50636986,123.50484390243903
40000000,82,4,29.854773,25,2086,141069860,114.0,Shallow Hal,5.7,731,1,2001,11,1,101069860,252.67464999999999
40000000,2,4,26.82041,1,2086,205405498,189.0,JFK,7.5,502,1,1991,12,20,165405498,413.51374500000003
40000000,19,4,17.61292,1,2086,138259062,99.0,Big Momma's House 2,5.4,371,1,2006,1,26,98259062,245.64765500000001
57000000,2,4,21.021809,1,6,147845033,123.0,The Mexican,5.8,441,1,2001,3,1,90845033,159.37725087719298
20000000,185,4,52.571674,2,2086,136267476,102.0,17 Again,6.1,1350,1,2009,3,11,116267476,581.3373799999999
40000000,82,4,34.519636,1,2086,196781193,109.0,The Other Woman,6.2,1437,1,2014,4,16,156781193,391.9529825
40000000,13,4,32.478077,2,2086,186167139,82.0,The Final Destination,5.4,831,1,2009,8,26,146167139,365.4178475
40000000,9,4,48.445978,1,1,165478348,141.0,Bridge of Spies,7.2,2583,1,2015,10,15,125478348,313.69587
40000000,4,4,24.012986,1,2086,91753202,106.0,Behind Enemy Lines,6.0,457,1,2001,11,17,51753202,129.383005
40000000,185,4,17.869443,1,2086,90029656,109.0,Get Him to the Greek,5.9,612,1,2010,6,4,50029656,125.07413999999999
50000000,5,4,14.231899,9,2086,170128460,107.0,Shall We Dance?,5.9,297,1,2004,10,15,120128460,240.25691999999998
40000000,1,4,23.088571,1,2086,54682547,110.0,Small Soldiers,6.2,511,1,1998,7,10,14682547,36.7063675
40000000,2,4,19.833664,1,2086,87840042,96.0,Spawn,5.0,336,1,1997,7,31,47840042,119.600105
35000000,11,4,26.595983,1,2086,75395048,131.0,The Count of Monte Cristo,7.3,453,1,2002,1,23,40395048,115.41442285714285
40000000,30,4,26.072228,1,2086,85412898,119.0,The Lincoln Lawyer,7.0,902,1,2011,3,17,45412898,113.532245
30000000,2,4,38.643914,1,1,130786397,113.0,Unknown,6.5,1265,1,2011,2,16,100786397,335.95465666666666
40000000,11,4,74.440708,1,2086,109676311,130.0,The Prestige,8.0,4391,1,2006,10,19,69676311,174.1907775
42000000,185,4,82.185281,1,2086,107670357,108.0,Horrible Bosses 2,6.1,1536,1,2014,11,26,65670357,156.35799285714285
40000000,1,4,18.14218,1,66,74597643,89.0,Escape from Planet Earth,5.7,332,1,2013,2,14,34597643,86.4941075
40000000,11,4,41.570047,1,2086,120175290,139.0,Apocalypto,7.3,1221,1,2006,12,7,80175290,200.438225
40000000,19,4,23.331459,5,141,191185897,130.0,The Living Daylights,6.2,440,1,1987,6,29,151185897,377.9647425
40000000,1,4,47.649554,1,2086,126248813,107.0,Predators,6.0,1206,1,2010,7,3,86248813,215.62203250000002
40000000,4,4,32.908414,1,2086,92913171,96.0,Secret Window,6.4,972,1,2004,3,12,52913171,132.2829275
40000000,2,4,29.88736,1,2086,114830111,99.0,The Lake House,6.5,670,1,2006,6,16,74830111,187.0752775
43000000,5,4,29.105407,1,93,91974818,104.0,The Skeleton Key,6.4,573,1,2005,7,29,48974818,113.89492558139536
40000000,82,4,19.574774,1,141,84601681,101.0,Made of Honor,6.0,394,1,2008,5,2,44601681,111.50420249999999
40000000,3,4,14.199933,23,2086,67347013,134.0,Jersey Boys,6.8,255,1,2014,6,5,27347013,68.3675325
40000000,8,4,12.229516,1,2086,45916769,135.0,The Rainmaker,6.7,235,1,1997,11,18,5916769,14.791922499999998
40000000,60,4,27.303608,1,2086,141591324,98.0,Gothika,5.8,629,1,2003,11,21,101591324,253.97831000000002
36000000,1,4,3.698276,3,2086,74000000,155.0,Amistad,6.8,316,1,1997,12,3,38000000,105.55555555555556
40000000,1,4,39.381913,1,2086,41797066,94.0,Aliens vs Predator: Requiem,4.9,740,1,2007,12,25,1797066,4.492665
40000000,5,4,17.659032,1,2086,145896422,96.0,Music and Lyrics,6.2,554,1,2007,2,9,105896422,264.741055
40000000,3,4,43.151268,1,12,97552050,104.0,Paul,6.5,1789,1,2011,2,14,57552050,143.880125
40000000,185,4,15.283444,1,2086,41863726,95.0,The Guilt Trip,5.4,284,1,2012,12,19,1863726,4.659315
40000000,13,4,35.21926,13,2086,97138686,111.0,Scream 4,6.1,902,1,2011,4,11,57138686,142.846715
40000000,4,4,25.580272,1,2086,96618699,123.0,8MM,6.1,474,1,1999,2,26,56618699,141.5467475
38000000,13,4,10.794175,1,2086,34416893,140.0,The Doors,6.7,275,1,1991,3,1,-3583107,-9.42922894736842
40000000,185,4,72.641296,1,2086,126069509,97.0,Sex Tape,5.3,1695,1,2014,7,17,86069509,215.17377249999998
40000000,68,4,3.415534,1,93,36037909,94.0,Hanging Up,5.0,40,1,2000,2,16,-3962091,-9.905227499999999
47000000,13,4,38.555482,2,2086,157887643,92.0,Final Destination 5,5.9,866,1,2011,8,12,110887643,235.93115531914896
40000000,89,4,24.313684,3,2086,55707411,122.0,Pay It Forward,7.0,432,1,2000,10,12,15707411,39.2685275
30000000,61,4,9.965073,1,93,50451307,103.0,Fever Pitch,5.9,182,1,2005,4,6,20451307,68.17102333333334
25000000,2,4,8.178203,33,2086,48063435,108.0,The Shadow,5.4,138,1,1994,7,1,23063435,92.25374
40000000,61,4,22.491388,1,2086,58785180,102.0,Morning Glory,6.1,412,1,2010,1,12,18785180,46.96295
40000000,195,4,12.885985,1,2086,46442528,117.0,Get Rich or Die Tryin',6.3,186,1,2005,11,9,6442528,16.10632
40000000,1,4,7.832337,1,66,30199105,117.0,The Art of War,5.6,135,1,2000,8,23,-9800895,-24.5022375
40000000,89,4,10.433667,1,2086,31670620,135.0,Rent,6.7,155,1,2005,11,23,-8329380,-20.823449999999998
75000000,185,4,4.842626,1,2086,29000000,90.0,The Out-of-Towners,5.0,45,1,1999,4,2,-46000000,-61.33333333333333
40000000,1,4,13.210898,26,2086,49627779,96.0,The Island of Dr. Moreau,4.6,147,1,1996,8,23,9627779,24.0694475
40000000,5,4,3.296933,1,1,27053815,104.0,The Musketeer,5.2,56,1,2001,9,7,-12946185,-32.3654625
40000000,89,4,19.372805,3,2086,65754228,119.0,Sweet November,6.4,278,1,2001,2,16,25754228,64.38557
40000000,36,4,13.445697,1,2086,62771059,99.0,The Reaping,5.4,205,1,2007,4,5,22771059,56.9276475
500000,22,4,17.002096,1,2086,3000000,110.0,Mean Streets,7.2,345,1,1973,10,2,2500000,500.0
40000000,2,4,4.516953,1,66,24332324,128.0,Renaissance Man,5.9,81,1,1994,6,3,-15667676,-39.16919
40000000,1,4,33.785969,1,19,60965854,108.0,Colombiana,6.5,824,1,2011,7,27,20965854,52.414635
40000000,1,4,16.059443,23,2086,38172500,86.0,Quest for Camelot,6.9,190,1,1998,5,15,-1827500,-4.56875
40000000,7,4,3.476966,1,2086,22433915,108.0,City By The Sea,5.7,92,1,2002,9,6,-17566085,-43.9152125
40000000,17,4,7.360793,1,36,46546197,84.0,Torque,4.7,119,1,2004,1,16,6546197,16.365492500000002
45000000,195,4,14.513305,1,33,20350754,128.0,Showgirls,4.9,256,1,1995,9,22,-24649246,-54.77610222222222
40000000,32,4,22.364549,1,1,60474340,123.0,Marie Antoinette,6.5,642,1,2006,5,24,20474340,51.18585
63600000,4,4,4.494788,1,2086,19412993,102.0,Get Carter,4.8,145,1,2000,10,6,-44187007,-69.47642610062893
42000000,9,4,47.559928,1,3,180274123,113.0,The Impossible,7.0,2025,1,2012,9,9,138274123,329.2241023809524
55000000,15,4,2.410546,28,2086,14375181,107.0,Ishtar,4.2,28,1,1987,5,15,-40624819,-73.86330727272727
40000000,9,4,41.258956,1,2086,46471023,87.0,Fantastic Mr. Fox,7.5,1176,1,2009,10,23,6471023,16.1775575
40000000,61,4,8.980846,1,66,16872671,103.0,Life or Something Like It,5.7,124,1,2002,4,26,-23127329,-57.818322499999994
40000000,3,4,7.222985,1,33,14358033,99.0,Memoirs of an Invisible Man,5.7,125,1,1992,2,28,-25641967,-64.1049175
60000000,185,4,15.219263,1,141,13395939,103.0,Alfie,5.6,248,1,2004,10,22,-46604061,-77.673435
40000000,2,4,8.303696,1,141,24719215,107.0,Big Miracle,6.6,152,1,2012,2,2,-15280785,-38.2019625
38000000,4,4,4.746085,1,2086,28121100,106.0,The Deep End of the Ocean,5.9,54,1,1999,3,12,-9878900,-25.997105263157895
40000000,60,4,6.756886,1,1,18902015,101.0,FearDotCom,3.2,105,1,2002,8,9,-21097985,-52.7449625
40000000,3,4,16.424807,33,2086,28169671,109.0,Cirque du Freak: The Vampire's Assistant,5.5,348,1,2009,10,23,-11830329,-29.575822499999997
40000000,8,4,15.590001,1,93,19322135,89.0,Duplex,5.9,482,1,2003,9,26,-20677865,-51.6946625
45000000,13,4,14.566664,1,2086,10667893,82.0,Universal Soldier: The Return,4.2,135,1,1999,8,5,-34332107,-76.29357111111112
33000000,1,4,28.353517,1,2,20645327,108.0,Pandorum,6.5,774,1,2009,9,8,-12354673,-37.43840303030303
40000000,11,4,2.911819,1,2086,10959475,93.0,Extreme Ops,5.0,28,1,2002,11,27,-29040525,-72.6013125
50000000,6,4,51.502884,1,141,32017803,107.0,Sunshine,7.0,1182,1,2007,4,5,-17982197,-35.964394
40000000,23,4,13.119133,1,2086,22044277,91.0,A Thousand Words,6.0,373,1,2012,3,7,-17955723,-44.8893075
40000000,2,4,26.935458,1,1,13644292,115.0,The Gunman,5.5,392,1,2015,2,16,-26355708,-65.88927
40000000,1,4,16.282962,1,22,23937870,93.0,Stormbreaker,5.1,213,1,2006,7,21,-16062130,-40.155325
20000000,5,4,31.690456,1,2086,117760134,105.0,Disturbia,6.6,1006,1,2007,4,12,97760134,488.80067
20000000,1,4,17.842246,1,2086,7563728,107.0,Hackers,6.2,398,1,1995,9,14,-12436272,-62.18136
39200000,2,14,64.238688,1,1,86758912,126.0,Snowpiercer,6.7,2854,1,2013,8,1,47558912,121.3237551020408
15000000,3,4,44.690107,1,2086,94000000,102.0,The Crow,7.3,953,1,1994,5,11,79000000,526.6666666666666
40000000,1,22,16.254032,1,6,100000000,159.0,Baahubali: The Beginning,7.5,135,1,2015,7,10,60000000,150.0
39000000,1,4,37.492928,1,2086,101229792,107.0,The Time Traveler's Wife,6.7,798,1,2009,8,14,62229792,159.56356923076922
39000000,18,4,27.908783,2,2086,35287788,87.0,Frankenweenie,6.6,932,1,2012,10,4,-3712212,-9.51849230769231
39000000,10,4,45.388937,1,2086,38869464,119.0,Serenity,7.4,1264,1,2005,8,25,-130536,-0.3347076923076923
39000000,13,4,2.817364,1,93,6614280,106.0,Against the Ropes,4.5,32,1,2004,2,20,-32385720,-83.04030769230769
39000000,1,4,22.164202,1,141,75850624,125.0,Superman III,5.3,490,1,1983,6,17,36850624,94.48877948717949
40000000,185,4,21.362949,1,2086,44907260,113.0,Grudge Match,6.0,433,1,2013,12,25,4907260,12.26815
80341000,4,25,14.8375,1,4,127814609,150.0,Red Cliff,7.1,205,1,2008,7,10,47473609,59.090139530252294
30000000,82,4,18.256028,15,2086,180622424,108.0,Sweet Home Alabama,6.0,394,1,2002,9,26,150622424,502.0747466666666
38000000,82,4,22.332927,1,2086,205298907,96.0,The Ugly Truth,6.4,972,1,2009,7,24,167298907,440.2602815789474
