budget,genres,original_language,popularity,production_companies,production_countries,release_date,revenue,runtime,title,vote_average,vote_count,cast
70000000,"Crime, Mystery, Thriller",en,13.483387,"Intermedia Films, Kanzaman, C-2 Pictures, IMF Internationale Medien und Film GmbH & Co. 3. Produktions KG","Germany, United Kingdom, United States of America",2006-03-29,38629478,114.0,Basic Instinct 2,4.6,180,"Sharon Stone, David Morrissey, Charlotte Rampling, David Thewlis, Stan Collymore, Indira Varma, Heathcote Williams, Hugh Dancy, Terence Harvey, Jan Chappell"
50000000,"Action, Thriller",en,44.478043,"Summit Entertainment, Atmosphere Entertainment MM, Emmett/Furla Films, Mark Canton Productions, Envision Entertainment, Boies / Schiller Film Group, Knightsbridge Entertainment",United States of America,2013-10-09,122915111,115.0,Escape Plan,6.7,1659,"Sylvester Stallone, Arnold Schwarzenegger, Jim Caviezel, Vinnie Jones, 50 Cent, Vincent D'Onofrio, Matt Gerald, Sam Neill, Christian Stokes, Lydia Hull"
70000000,"Action, Adventure",en,25.020428,Millennium Films,United States of America,2014-01-10,61279452,99.0,The Legend of Hercules,4.4,533,"Kellan Lutz, Liam McIntyre, Gaia Weiss, Scott Adkins, Roxanne McKee, Liam Garrigan, Jukka Hilden, Rade Serbedzija, Johnathon Schaech, Luke Newberry"
68000000,"Thriller, Action, Drama",en,22.392544,"Paramount Pictures, Mace Neufeld Productions, MFP Munich Film Partners GmbH & Company I. Produktions KG, S.O.A.F. Productions, Mel's Cite du Cinema",United States of America,2002-05-31,193000000,124.0,The Sum of All Fears,5.9,437,"Ben Affleck, Morgan Freeman, James Cromwell, Ken Jenkins, Liev Schreiber, Bruce McGill, John Beasley, Philip Baker Hall, Bridget Moynahan"
68000000,"Adventure, Fantasy, Drama, Romance",en,107.069763,"Summit Entertainment, Maverick Films, Imprint Entertainment, Sunswept Entertainment, Temple Hill Entertainment",United States of America,2010-06-23,698491347,124.0,The Twilight Saga: Eclipse,5.8,2301,"Kristen Stewart, Robert Pattinson, Taylor Lautner, Ashley Greene, Peter Facinelli, Billy Burke, Elizabeth Reaser, Nikki Reed, Kellan Lutz, Jackson Rathbone"
68000000,"Action, Crime, Thriller",en,22.572323,"Paramount Pictures, Mandalay Pictures, Horseshoe Bay Productions","Germany, United States of America",2001-07-13,71069884,124.0,The Score,6.7,423,"Robert De Niro, Edward Norton, Marlon Brando, Angela Bassett, Paul Soles, Jamie Harrold, Serge Houde, Mark Camacho, Gary Farmer, Martin Drainville"
69000000,"Animation, Family",en,113.858273,"Universal Pictures, Illumination Entertainment",United States of America,2010-07-08,543513985,95.0,Despicable Me,7.1,6478,"Steve Carell, Jason Segel, Russell Brand, Julie Andrews, Will Arnett, Kristen Wiig, Miranda Cosgrove, Dana Gaier, Elsie Fisher, Pierre Coffin"
60000000,"Action, Comedy, Crime",en,10.004564,Columbia Pictures,United States of America,1995-11-21,35431113,103.0,Money Train,5.4,222,"Wesley Snipes, Woody Harrelson, Jennifer Lopez, Robert Blake, Chris Cooper, Joe Grifasi, Scott Sowers, Skipp Sudduth, Aida Turturro, Vincent Pastore"
68000000,Comedy,en,68.734513,"Universal Pictures, Fuzzy Door Productions, Bluegrass Films, Smart Entertainment, Media Rights Capital (MRC)",United States of America,2015-06-25,217022588,115.0,Ted 2,6.2,2463,"Mark Wahlberg, Seth MacFarlane, Amanda Seyfried, Jessica Barth, Giovanni Ribisi, Morgan Freeman, Sam J. Jones, Patrick Warburton, Michael Dorn, Bill Smitrovich"
70000000,"Adventure, Drama, History",en,18.888806,"Telecinco Cinema, Mod Producciones, Nimar Studios, Government of Malta",Spain,2009-05-17,39041505,127.0,Agora,6.9,395,"Rachel Weisz, Max Minghella, Oscar Isaac, Ashraf Barhom, Michael Lonsdale, Rupert Evans, Homayoun Ershadi, Sami Samir, Richard Durden, Omar Mostafa"
68000000,"Adventure, Fantasy, Action, Comedy, Science Fiction",en,12.948627,"Universal Pictures, Dark Horse Entertainment, Golar Productions",United States of America,1999-08-06,29762011,121.0,Mystery Men,5.7,250,"Ben Stiller, Geoffrey Rush, Claire Forlani, William H. Macy, Hank Azaria, Janeane Garofalo, Kel Mitchell, Paul Reubens, Jenifer Lewis, Stacey Travis"
36000000,Comedy,en,27.11589,"New Line Cinema, Conundrum Entertainment",United States of America,2011-02-25,83160734,105.0,Hall Pass,5.4,611,"Owen Wilson, Jason Sudeikis, Jenna Fischer, Christina Applegate, Nicky Whelan, Stephen Merchant, Bruce Thomas, Alexandra Daddario, Lauren Bowles, Richard Jenkins"
90000000,"Drama, Thriller",en,26.153669,"Spyglass Entertainment, Forward Pass, Kaitz Productions, Mann/Roth Productions, Touchstone Pictures",United States of America,1999-10-28,60289912,157.0,The Insider,7.3,481,"Al Pacino, Russell Crowe, Christopher Plummer, Diane Venora, Bruce McGill, Lindsay Crouse, Philip Baker Hall, Debi Mazar, Renee Olstead, Hallie Kate Eisenberg"
80000000,"Action, Drama, History, Thriller",en,28.223664,"Walt Disney Pictures, Whitaker Entertainment, Bergsten Music, Red Hawk Entertainment",United States of America,2016-01-25,52099090,114.0,The Finest Hours,6.3,588,"Chris Pine, Casey Affleck, Ben Foster, Eric Bana, Holliday Grainger, John Ortiz, Kyle Gallner, John Magaro, Graham McTavish, Michael Raymond-James"
70000000,"Action, Drama, Thriller",en,37.507136,"Scott Free Productions, De Line Pictures, Warner Bros.","United States of America, United Kingdom",2008-10-10,113280098,128.0,Body of Lies,6.5,895,"Leonardo DiCaprio, Russell Crowe, Mark Strong, Ali Suliman, Simon McBurney, Michael Gaston, Mehdi Nebbou, Golshifteh Farahani, Oscar Isaac, Alon Aboutboul"
69000000,Comedy,en,11.023691,"Paramount Pictures, DreamWorks SKG, Spyglass Entertainment, Everyman Pictures, Reliance BIG Entertainment, Parkes/MacDonald Productions",United States of America,2010-07-30,86387857,114.0,Dinner for Schmucks,5.5,531,"Steve Carell, Paul Rudd, Stephanie Szostak, Jemaine Clement, Zach Galifianakis, Lucy Punch, Bruce Greenwood, David Walliams, Ron Livingston, Kristen Schaal"
69000000,"Action, Fantasy, Horror",en,38.634767,"Twentieth Century Fox Film Corporation, Bazelevs Production, Tim Burton Productions, Abraham Productions, Location Gourmet",United States of America,2012-06-20,112265139,94.0,Abraham Lincoln: Vampire Hunter,5.5,1269,"Benjamin Walker, Dominic Cooper, Anthony Mackie, Mary Elizabeth Winstead, Rufus Sewell, John Rothman, Marton Csokas, Alex Lombard, Jimmi Simpson, Teri Wyble"
66000000,"Romance, Drama, Mystery",en,25.877794,"Fountainbridge Films, Regency Enterprises","United Kingdom, United States of America",1999-04-29,212404396,112.0,Entrapment,6.0,602,"Sean Connery, Catherine Zeta-Jones, Will Patton, Maury Chaykin, Ving Rhames, Kevin McNally, Terry O'Neill, Madhav Sharma, David Yip, Tim Potter"
66000000,"Mystery, Science Fiction, Thriller",en,18.59991,"Twentieth Century Fox Film Corporation, Ten Thirteen Productions","Canada, United States of America",1998-06-19,189198313,121.0,The X Files,6.6,488,"David Duchovny, Gillian Anderson, Mitch Pileggi, William B. Davis, John Neville, Martin Landau, Jeffrey DeMunn, Dean Haglund, Bruce Harwood, Tom Braidwood"
67000000,"Action, Adventure, Fantasy, War",en,12.282911,"Ingenious Film Partners, Quinta Communications, Dino De Laurentiis Company, Zephyr Films","United Kingdom, Italy, France, Tunisia",2007-04-19,25303038,102.0,The Last Legion,5.0,207,"Colin Firth, Ben Kingsley, Aishwarya Rai Bachchan, Peter Mullan, Kevin McKidd, John Hannah, Iain Glen, Thomas Brodie-Sangster, Rupert Friend, Nonso Anozie"
70000000,"Drama, History, War",en,76.041867,"Paramount Pictures, DreamWorks SKG, Amblin Entertainment, Mutual Film Company, Mark Gordon Productions",United States of America,1998-07-24,481840909,169.0,Saving Private Ryan,7.9,5048,"Tom Hanks, Matt Damon, Vin Diesel, Tom Sizemore, Barry Pepper, Jeremy Davies, Dennis Farina, Max Martini, Joerg Stadler, Harve Presnell"
66000000,"Action, Crime, Drama, Thriller",en,54.81489,"DreamWorks SKG, Reliance Entertainment, Bandito Brothers, Touchstone Pictures, Electronic Arts, Revolution Sun Studios","Philippines, United States of America, United Kingdom, France",2014-03-13,203277636,130.0,Need for Speed,6.1,1520,"Aaron Paul, Dominic Cooper, Imogen Poots, Rami Malek, Harrison Gilbertson, Dakota Johnson, Michael Keaton, Scott Mescudi, Sir Maejor"
70000000,"Comedy, Romance",en,31.39165,"Paramount Pictures, Centropolis Entertainment, Icon Entertainment International, Wind Dancer Productions",United States of America,2000-12-15,374111707,127.0,What Women Want,6.1,992,"Helen Hunt, Mel Gibson, Marisa Tomei, Lauren Holly, Mark Feuerstein, Alan Alda, Ashley Johnson, Delta Burke, Diana Maria Riva, Eric Balfour"
59000000,"Animation, Comedy, Family, Adventure",en,99.561972,"Twentieth Century Fox Film Corporation, Blue Sky Studios, Twentieth Century Fox Animation",United States of America,2002-03-10,383257136,81.0,Ice Age,7.1,3857,"Ray Romano, John Leguizamo, Denis Leary, Goran Visnjic, Jack Black, Cedric the Entertainer, Stephen Root, Diedrich Bader, Alan Tudyk, Lorri Bagley"
68000000,"Drama, Horror, Science Fiction, Thriller",en,26.792794,"Village Roadshow Pictures, Castle Rock Entertainment, NPV Entertainment, Kasdan Pictures, WV Films II",United States of America,2003-03-21,75715436,136.0,Dreamcatcher,5.3,567,"Morgan Freeman, Thomas Jane, Jason Lee, Damian Lewis, Timothy Olyphant, Tom Sizemore, Donnie Wahlberg, Mikey Holekamp, Reece Thompson, Giacomo Baessato"
65000000,"History, Drama",en,36.307296,"DreamWorks, Amblin Entertainment, Twentieth Century Fox Film Corporation, Dune Entertainment, The Kennedy/Marshall Company, Participant Media, Reliance Entertainment","India, United States of America",2012-11-09,275293450,149.0,Lincoln,6.7,1429,"Daniel Day-Lewis, Sally Field, David Strathairn, Joseph Gordon-Levitt, James Spader, Hal Holbrook, Tommy Lee Jones, Lee Pace, Jackie Earle Haley, Jared Harris"
63000000,"Action, Science Fiction",en,104.309993,"Village Roadshow Pictures, Groucho II Film Partnership, Silver Pictures, Warner Bros.","Australia, United States of America",1999-03-30,463517383,136.0,The Matrix,7.9,8907,"Keanu Reeves, Laurence Fishburne, Carrie-Anne Moss, Hugo Weaving, Gloria Foster, Joe Pantoliano, Marcus Chong, Paul Goddard, Robert Taylor, Julian Arahanga"
52000000,Drama,en,68.140214,"Imagine Entertainment, Universal Pictures",United States of America,1995-06-30,355237933,140.0,Apollo 13,7.3,1599,"Tom Hanks, Bill Paxton, Kevin Bacon, Gary Sinise, Ed Harris, Kathleen Quinlan, Mary Kate Schellhardt, Emily Ann Lloyd, Miko Hughes, Max Elliott Slade"
65000000,"Fantasy, Comedy, Family",en,14.646884,"Walt Disney Pictures, Outlaw Productions, Boxing Cat Films",United States of America,2002-10-31,172855065,104.0,The Santa Clause 2,5.5,297,"Tim Allen, Elizabeth Mitchell, David Krumholtz, Eric Lloyd, Spencer Breslin, Judge Reinhold, Wendy Crewson, Kevin Pollak, Aisha Tyler, Molly Shannon"
65000000,"Comedy, Romance",en,28.540267,Warner Bros.,United States of America,1998-12-17,250821495,119.0,You've Got Mail,6.3,838,"Tom Hanks, Meg Ryan, Katie Sagona, Greg Kinnear, Parker Posey, Jean Stapleton, Steve Zahn, Heather Burns, Dabney Coleman, Hallee Hirsh"
65000000,Comedy,en,22.977983,"Columbia Pictures, Mosaic Media Group, Gary Sanchez Productions, Relativity Media, Apatow Productions",United States of America,2008-07-25,128107642,98.0,Step Brothers,6.5,1062,"Will Ferrell, John C. Reilly, Mary Steenburgen, Richard Jenkins, Adam Scott, Kathryn Hahn, Andrea Savage, Rob Riggle, Seth Rogen, Logan Manus"
95000000,"Action, Adventure",en,31.086791,"Amblin Entertainment, TriStar Pictures",United States of America,1998-07-16,250288523,136.0,The Mask of Zorro,6.3,1183,"Antonio Banderas, Anthony Hopkins, Catherine Zeta-Jones, Stuart Wilson, Diego Sieres, Emiliano Guerra, Yolanda Orisaga, Paco Morayta, William Marquez"
65000000,"Comedy, Drama",en,43.865294,"Legendary Pictures, Green Hat Films, Warner Bros.",United States of America,2010-11-04,211780824,95.0,Due Date,6.2,1685,"Robert Downey Jr., Zach Galifianakis, Michelle Monaghan, Jamie Foxx, Juliette Lewis, Danny McBride, RZA, Matt Walsh, Brody Stevens, Jakob Ulrich"
65000000,"Drama, War",en,43.055253,"Legendary Pictures, 3 Arts Entertainment, Jolie Pas",United States of America,2014-12-25,163442937,137.0,Unbroken,7.3,1400,"Jack O'Connell, Domhnall Gleeson, Garrett Hedlund, Miyavi, Finn Wittrock, Jai Courtney, Maddalena Ischiale, Vincenzo Amato, John Magaro, Luke Treadaway"
65000000,"Action, Adventure, Thriller",en,15.772081,"Village Roadshow Pictures, Malpaso Productions, Mad Chance, Warner Bros., Clipsal Films, Digital Image Associates",United States of America,2000-07-31,128884132,130.0,Space Cowboys,6.3,403,"Clint Eastwood, Tommy Lee Jones, Donald Sutherland, James Garner, James Cromwell, Marcia Gay Harden, William Devane, Loren Dean, Courtney B. Vance, Barbara Babcock"
70000000,"Action, Adventure, Thriller",en,26.19909,"TriStar Pictures, Canal+, Carolco Pictures, RCS Video, Cliffhanger Productions, Pioneer","France, Italy, United States of America",1993-05-28,255000211,112.0,Cliffhanger,6.1,588,"Sylvester Stallone, John Lithgow, Michael Rooker, Janine Turner, Rex Linn, Caroline Goodall, Leon Robinson, Craig Fairbrass, Gregory Scott Cummins, Denis Forest"
50000000,"Action, Adventure, Drama, Thriller",en,22.769108,"Twentieth Century Fox Film Corporation, WCG Entertainment Productions, Mark Gordon Productions",United States of America,1996-02-09,150270147,108.0,Broken Arrow,5.7,453,"John Travolta, Christian Slater, Samantha Mathis, Delroy Lindo, Bob Gunton, Frank Whaley, Howie Long, Vondie Curtis-Hall, Jack Thompson, Vyto Ruginis"
65000000,"Fantasy, Comedy, Family",en,18.281798,Walt Disney Pictures,United States of America,2000-07-07,69700000,104.0,The Kid,6.0,238,"Bruce Willis, Spencer Breslin, Emily Mortimer, Lily Tomlin, Chi McBride, Jean Smart, Dana Ivey, Daniel von Bargen, Stanley Anderson, Susan Dalian"
63000000,"Drama, History, Thriller",en,24.697533,"Paramount Pictures, Double Feature Films, Intermedia Films, Kernos Filmproduktionsgesellschaft & Company",United States of America,2006-08-09,162945894,128.0,World Trade Center,5.9,447,"Nicolas Cage, Maria Bello, Maggie Gyllenhaal, Jay Hernandez, Danny Nucci, Michael Shannon, Dorothy Lyman, Peter McRobbie, Wass Stevens"
65000000,Comedy,en,31.349143,Paramount Pictures,United States of America,2012-05-15,179379533,83.0,The Dictator,5.9,1743,"Sacha Baron Cohen, Sayed Badreya, Aasif Mandvi, Megan Fox, Anna Faris, John C. Reilly, Michelle Bergh, Adeel Akhtar, Ben Kingsley, Olivia Taylor Dudley"
65000000,"Mystery, Drama",en,27.870312,"Hobby Films, Pole Star, Stanley Kubrick Productions, Warner Bros.","United Kingdom, United States of America",1999-07-14,162091208,159.0,Eyes Wide Shut,7.1,1234,"Tom Cruise, Nicole Kidman, Madison Eginton, Jackie Sawiris, Sydney Pollack, Leslie Lowe, Peter Benson, Todd Field, Michael Doven, Sky du Mont"
65000000,"Comedy, Drama, Family",en,33.439187,"Columbia Pictures, Olive Bridge Entertainment, Sony Pictures Entertainment (SPE), Overbrook Entertainment, Marcy Media",United States of America,2014-12-19,133821816,119.0,Annie,6.0,466,"Jamie Foxx, Rose Byrne, Cameron Diaz, Bobby Cannavale, Adewale Akinnuoye-Agbaje, David Zayas, Amanda Troya, Zoe Margaret Colletti, Nicolette Pierini"
50100000,"Romance, Comedy, Crime, Drama",en,59.634029,"Kramer & Sigman Films, RatPac-Dune Entertainment, Zaftig Films",United States of America,2015-02-25,153962963,105.0,Focus,6.7,2542,"Will Smith, Margot Robbie, Rodrigo Santoro, Robert Taylor, Gerald McRaney, Adrian Martinez, BD Wong, Brennan Brown, Dotan Bonen, Griff Furst"
65000000,"Action, Comedy, Romance",en,38.994297,"Dune Entertainment, Overbrook Films, Robert Simonds Productions",United States of America,2012-02-14,156974557,103.0,This Means War,5.9,1389,"Reese Witherspoon, Chris Pine, Tom Hardy, Laura Vandervoort, Angela Bassett, Kasey Ryne Mazak, Warren Christie, Natassia Malthe, Til Schweiger, Chelsea Handler"
65000000,"Science Fiction, Action, Horror, Thriller, Adventure, Fantasy",en,49.660055,"New Line Cinema, Amen Ra Films, Shawn Danielle Productions Ltd., Imaginary Forces, Marvel Enterprises, Peter Frankfurt Productions",United States of America,2004-12-08,128905366,123.0,Blade: Trinity,5.7,1252,"Wesley Snipes, Kris Kristofferson, Dominic Purcell, Jessica Biel, Ryan Reynolds, Parker Posey, Mark Berry, John Michael Higgins, Callum Keith Rennie"
4200000,"Action, Thriller",en,11.743085,"United Artists, Valkyrie Films",United States of America,1984-08-10,38376497,114.0,Red Dawn,6.4,215,"Patrick Swayze, C. Thomas Howell, Lea Thompson, Darren Dalton, Charlie Sheen, Jennifer Grey, Brad Savage, Ben Johnson, Harry Dean Stanton, William Smith"
65000000,"Action, Horror, Science Fiction",en,6.227675,Davis-Films,"Canada, France, Germany, United States of America",2012-09-12,240159255,95.0,Resident Evil: Retribution,5.6,1600,"Milla Jovovich, Sienna Guillory, Michelle Rodriguez, Aryana Engineer, Li Bingbing, Boris Kodjoe, Johann Urb, Robin Kasyanov, Kevin Durand, Ofilio Portillo"
45000000,"Action, Thriller, Science Fiction",en,42.57877,"Universal Pictures, Cruise/Wagner Productions, Impact Pictures, Relativity Media, Scion Films, H2S2 Filmproduktionsgesellschaft","United Kingdom, United States of America, Germany",2008-08-22,73762516,105.0,Death Race,6.0,1175,"Jason Statham, Joan Allen, Ian McShane, Tyrese Gibson, Natalie Martinez, Max Ryan, Jacob Vargas, Jason Clarke, Fred Koehler, Justin Mader"
65000000,"Crime, Action, Mystery, Thriller",en,15.858629,"New Line Cinema, Forge, The Steve Tisch Company",United States of America,1996-10-11,89456761,120.0,The Long Kiss Goodnight,6.5,314,"Geena Davis, Samuel L. Jackson, Yvonne Zima, Craig Bierko, Tom Amandes, Brian Cox, Patrick Malahide, David Morse, Joseph McKenna, Melina Kanakaredes"
65000000,"Family, Fantasy, Science Fiction, Adventure",en,15.194239,"Columbia Pictures Corporation, Teitler Film, Michael De Luca Productions, Radar Pictures",United States of America,2005-11-06,64321501,101.0,Zathura: A Space Adventure,6.1,779,"Jonah Bobo, Josh Hutcherson, Dax Shepard, Kristen Stewart, Tim Robbins, Frank Oz, Derek Mears, Douglas Tait, Joe Bucaro III, Jeff Wolfe"
63000000,Drama,en,146.757391,"Regency Enterprises, Fox 2000 Pictures, Taurus Film, Linson Films, Atman Entertainment, Knickerbocker Films","Germany, United States of America",1999-10-15,100853753,139.0,Fight Club,8.3,9413,"Edward Norton, Brad Pitt, Meat Loaf, Jared Leto, Helena Bonham Carter, Zach Grenier, Holt McCallany, Eion Bailey, Richmond Arquette, David Andrews"
65000000,Drama,en,8.629665,"Legendary Pictures, Thunder Road Pictures, Wonderland Sound and Vision, Warner Bros.",United States of America,2006-12-12,43545364,124.0,We Are Marshall,6.7,186,"Matthew McConaughey, Matthew Fox, Anthony Mackie, David Strathairn, Ian McShane, Kate Mara, January Jones, Kate Kneeland"
65000000,"Action, Adventure, Comedy",en,16.803457,"TriStar Pictures, Silver Pictures",United States of America,1991-05-23,17218080,100.0,Hudson Hawk,5.4,269,"Bruce Willis, Danny Aiello, Andie MacDowell, James Coburn, Richard E. Grant, Sandra Bernhard, David Caruso, Frank Stallone"
65000000,"Horror, Thriller",en,31.324734,"Lakeshore Entertainment, Sidney Kimmel Entertainment, Lionsgate, Hopscotch Films","United States of America, Australia",2014-01-22,71154592,92.0,"I, Frankenstein",5.0,687,"Aaron Eckhart, Yvonne Strahovski, Bill Nighy, Jai Courtney, Miranda Otto, Caitlin Stasey, Kevin Grevioux, Aden Young, Deniz Akdeniz, Chris Pang"
50000000,"Crime, Drama, Family",en,20.415572,"R.P. Productions, ETIC Films, Runteam III Ltd.","Czech Republic, France, Italy, United Kingdom",2005-09-23,42093706,130.0,Oliver Twist,6.7,274,"Barney Clark, Ben Kingsley, Jamie Foreman, Harry Eden, Edward Hardwicke, Leanne Rowe, Ian McNeice, Chris Overton, Andy Linden, Teresa Churcher"
43000000,"Action, Fantasy",en,28.613892,"Twentieth Century Fox Film Corporation, Regency Enterprises, Epsilon Motion Pictures, New Regency Pictures, Marvel Enterprises, Horseshoe Bay Productions, Elektra Productions, SAI Productions","Canada, United States of America",2005-01-13,56681566,97.0,Elektra,4.8,575,"Jennifer Garner, Goran Visnjic, Will Yun Lee, Cary-Hiroyuki Tagawa, Terence Stamp, Natassia Malthe, Kirsten Prout, Colin Cunningham, Edson T. Ribeiro, Chris Ackerman"
65000000,"Crime, Thriller",en,85.428395,"Miramax Films, Troublemaker Studios, AR Films, Aldamisa Entertainment, Demarest Films, Solipsist Film, Residaco",United States of America,2014-08-20,39407616,102.0,Sin City: A Dame to Kill For,6.3,1286,"Mickey Rourke, Jessica Alba, Josh Brolin, Joseph Gordon-Levitt, Rosario Dawson, Bruce Willis, Eva Green, Powers Boothe, Dennis Haysbert, Ray Liotta"
64000000,"Drama, Romance",en,4.137237,Columbia Pictures,United States of America,1999-10-08,74608570,133.0,Random Hearts,5.3,63,"Harrison Ford, Kristin Scott Thomas, Charles S. Dutton, Bonnie Hunt, Dennis Haysbert, Sydney Pollack, Richard Jenkins, Paul Guilfoyle, Susanna Thompson, Peter Coyote"
55000000,"Adventure, Drama",en,60.246978,"Universal Pictures, Working Title Films, Walden Media, Cross Creek Pictures, Free State Pictures, RVK Studios","Iceland, United States of America, United Kingdom",2015-09-10,203427584,121.0,Everest,6.7,1772,"Jason Clarke, Jake Gyllenhaal, Josh Brolin, John Hawkes, Sam Worthington, Robin Wright, Keira Knightley, Clive Standen, Emily Watson, Mia Goth"
50000000,"Crime, Fantasy, Drama",en,42.551902,"Davis-Films, Rising Star, VIP Medienfonds 4, Ikiru Films, Constantin Film Produktion, Castelao Producciones","Spain, Germany, France",2006-09-13,132180323,147.0,Perfume: The Story of a Murderer,7.1,1165,"Ben Whishaw, Simon Chandler, David Calder, Richard Felix, Birgit Minichmayr, Sian Thomas, Michael Smiley, Alvaro Roque, Franck Lefeuvre, Sam Douglas"
63000000,"Comedy, Crime, Science Fiction",en,40.137264,"New Line Cinema, Eric's Boy, Team Todd, Moving Pictures, Gratitude International",United States of America,2002-07-26,296655431,94.0,Austin Powers in Goldmember,5.9,979,"Mike Myers, Seth Green, Michael York, Mindy Sterling, Verne Troyer, Michael Caine, Fred Savage, Diane Mizota, Carrie Ann Inaba"
65000000,"Animation, Action, Family, Science Fiction",en,24.857079,"The Weinstein Company, Summit Entertainment, Tezuka Production Company Ltd., Imagi Animation Studios","Hong Kong, Japan, United States of America",2009-10-15,44091067,94.0,Astro Boy,6.1,409,"Nicolas Cage, Kristen Bell, Bill Nighy, Donald Sutherland, Freddie Highmore, Eugene Levy, Sterling Beaumon, Nathan Lane, Samuel L. Jackson, Charlize Theron"
63000000,"Adventure, Science Fiction",en,40.413191,"Universal Pictures, Amblin Entertainment",United States of America,1993-06-11,920100000,127.0,Jurassic Park,7.6,4856,"Sam Neill, Laura Dern, Jeff Goldblum, Richard Attenborough, Bob Peck, Martin Ferrero, BD Wong, Joseph Mazzello, Ariana Richards, Samuel L. Jackson"
63000000,"Drama, Action, Western",en,13.859307,"Tig Productions, Warner Bros., Kasdan Pictures, Paragon Entertainment Corp.",United States of America,1994-06-24,25052000,191.0,Wyatt Earp,6.5,202,"Kevin Costner, Dennis Quaid, Gene Hackman, David Andrews, Linden Ashby, Jeff Fahey, Joanna Going, Mark Harmon, Michael Madsen, Catherine O'Hara"
62000000,"Action, Drama, Thriller",en,18.832471,"Paramount Pictures, Mace Neufeld Productions",United States of America,1994-08-03,215887717,141.0,Clear and Present Danger,6.4,386,"Harrison Ford, Willem Dafoe, Anne Archer, Joaquim de Almeida, Henry Czerny, Harris Yulin, Donald Moffat, Miguel Sandoval, Benjamin Bratt, Raymond Cruz"
65000000,"Action, Drama, Adventure",zh,9.568884,"Shanghai Film Group, Jackie & JJ Production, Sparkle Roll Media, Huayi Brothers Media, Alibaba Pictures Group, Home Media & Entertainment Fund, Tencent Video, China Film & TV Capital, Visualizer Film Company","Hong Kong, China",2015-02-19,121545703,127.0,Dragon Blade,5.9,145,"Jackie Chan, John Cusack, Adrien Brody, Sharni Vinson, Benny Urquidez, Kevin Lee, Raiden Integra, Tomer Oz, Alfred Hsing, Choi Si-won"
64000000,"Comedy, Crime",en,12.421504,"Revolution Studios, Wayans Bros. Entertainment",United States of America,2006-08-31,101595121,98.0,Little Man,5.3,261,"Marlon Wayans, Shawn Wayans, Kerry Washington, John Witherspoon, Tracy Morgan, Lochlyn Munro"
62000000,"Action, Drama, Thriller, War",en,18.096884,"Universal Pictures, Canal Plus, Dino De Laurentiis Company","France, United States of America",2000-04-20,127666415,116.0,U-571,6.1,340,"Matthew McConaughey, Bill Paxton, Harvey Keitel, Jon Bon Jovi, David Keith, Thomas Kretschmann, Jake Weber, Jack Noseworthy, Tom Guiry, Will Estes"
62000000,"Comedy, Drama, Romance",en,11.056763,"Columbia Pictures, Castle Rock Entertainment",United States of America,1995-11-17,107879496,106.0,The American President,6.5,195,"Michael Douglas, Annette Bening, Michael J. Fox, Martin Sheen, Anna Deavere Smith, Shawna Waldron, Samantha Mathis, David Paymer, Richard Dreyfuss, Nina Siemaszko"
62000000,"Comedy, Romance",en,13.218008,"Paramount Pictures, Goldcrest Pictures, Internationale Filmproduktion","United States of America, United Kingdom, Germany",2008-06-20,41819064,87.0,The Love Guru,4.3,242,"Mike Myers, Jessica Alba, Justin Timberlake, Romany Malco, Meagan Good, Verne Troyer, Manu Narayan, Omid Djalili, Ben Kingsley, Deepak Chopra"
62000000,"Action, Adventure, Comedy, Thriller, Crime",en,11.262655,"Franchise Pictures, Warner Bros., Morgan Creek Productions",United States of America,2001-02-23,18720175,125.0,3000 Miles to Graceland,5.8,178,"Kurt Russell, Kevin Costner, Courteney Cox, Christian Slater, Kevin Pollak, David Arquette, Jon Lovitz, Howie Long, Thomas Haden Church, Bokeem Woodbine"
44000000,"Crime, Drama, Mystery, Western",en,68.717016,"Double Feature Films, The Weinstein Company, FilmColony",United States of America,2015-12-25,155760117,167.0,The Hateful Eight,7.6,4274,"Samuel L. Jackson, Kurt Russell, Jennifer Jason Leigh, Walton Goggins, Tim Roth, Michael Madsen, Bruce Dern, James Parks, Dana Gourrier"
63000000,"Animation, Comedy, Family",en,16.791058,"Universal Pictures, Illumination Entertainment",United Kingdom,2011-03-30,183953723,95.0,Hop,5.5,331,"Russell Brand, James Marsden, Kaley Cuoco, Hank Azaria, Elizabeth Perkins, Gary Cole, Hugh Laurie, Tiffany Espensen, David Hasselhoff, Chelsea Handler"
65000000,"Action, Adventure, War",en,65.197968,"Virtual Studios, Legendary Pictures, Hollywood Gang Productions, Atmosphere Entertainment MM, Warner Bros., Nimar Studios, Cruel and Unusual Films",United States of America,2006-12-09,422610419,117.0,300,7.0,4997,"Gerard Butler, Lena Headey, Dominic West, David Wenham, Vincent Regan, Michael Fassbender, Tom Wisdom, Andrew Tiernan, Andrew Pleavin, Rodrigo Santoro"
80000000,"Comedy, Romance",en,32.829538,"DreamWorks SKG, Universal Pictures, Everyman Pictures, Tribeca Productions",United States of America,2004-12-22,516642939,115.0,Meet the Fockers,6.1,1373,"Ben Stiller, Teri Polo, Robert De Niro, Dustin Hoffman, Barbra Streisand, Blythe Danner, Tim Blake Nelson, Alanna Ubach, Shelley Berman, Owen Wilson"
